26.11.2020|18:53:34*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:53:34*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:52:52*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:52:12*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:46:47*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:46:30*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:41:18*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:41:03*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:40:12*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:40:12*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:40:10*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:39:58*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:39:58*+#+*mh*+#+*1*+#+*Baustein-DB10*+#+*
26.11.2020|18:38:59*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:38:21*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:38:09*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:36:34*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:35:00*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:33:29*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:32:18*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:31:04*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:30:47*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:30:34*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:30:13*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:29:19*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:27:13*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:26:36*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:24:59*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:24:42*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:24:23*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
26.11.2020|18:24:07*+#+*mh*+#+*1*+#+*Baustein-OB1*+#+*
